Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"1:17 Outer Worlds (Gameplay Trailer )
5:08 Bleeding Edge (Gameplay Reveal Trailer)
6:30 Ori And The Will Of The Wisps (Gameplay Trailer)
8:18 Minecraft Dungeons (Gameplay Trailer)
9:55 Phil Spencer(sry if I spelt name wrong)
14:39 Star Wars Jedi:Fallen Order (Official Briefing Trailer)
16:34 Blair Witch (Official Reveal Trailer)
18:32 Cyber Punk 2077 (Official Cinematic Trailer)
22:22 JOHN WICK
25:10 Cyberpunk 2077 (Release Date Trailer
25:51 Spiritfarer (Reveal Trailer)
27:23 Battle Toads(Gameplay Trailer)
28:25 RPG Time The Legend Of Wright(Trailer)
29:49 Gamepass New Games
31:30 Sarah Bond(About Gamepass) (some new games for Gamepass are revealed so watch it if you are interested)
35:05 PC Gamepass(looks pretty good)
37:16 Microsoft Flight Simulator(Reveal Trailer)
39:11 Age Of Empires2:Defintive Edition(Gameplay Trailer)
40:09 Wasteland 3(Official Trailer)
41:33 Matt Booty(says Xbox Game Studios is merging with Double Fine Productions)
41:07 Tim Schafer
44:02 Psychonauts 2(Gameplay Trailer)
45:20 Lego Starwars:Skywalker Saga(Reveal Trailer)
46:19 Dragon Ball Z Kakarot(Official Trailer)
47:52 12 Minutes(Reveal Trailer)
50:15 Way To The Woods(Reveal Trailer)
51:35 Gears Of War 5:Bound By Blood(Official Trailer) 
53:00 Rod Fergusson(makes some important announcements on gears 5)
54:42Gears Of War 5 Escape(Official Trailer)
58:10 Announcements
58:46 special gears preorder bonus
59:40 New controller
1:01:14 Dying Light 2(Reveal Trailer)
1:02:53 Forza Horizon 4 Lego Expansion Pack(Launch Trailer)
1:05:28 Gears Pop(Reveal Trailer)
1:06:40 State Of Decay 2 Heartland Expansion Pack(Official Trailer)
1:08:25 Phantasy Star Online 2 (Coming to Xbox)
1:10:16 Phil Spencer
1:11:45 Crossfire(Announcement Trailer)
1:13:50 Tales Of Arise(Announce Trailer)
1:15:30 Borderlands 3(Official Trailer)
1:18:06 Elden Ring(Announcement Trailer)
1:20:20 Phil Spencer
1:20:59 Bringing Xbox To cloud
1:21:37 Console Streaming
1:22:12 The Big One
1:28:28 Halo Infinite
1:36:16 Press conference",UgyolGA3btmyXsv1yPF4AaABAg,45,1186
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,John Wick survives all the way to 2077. Legit.,UgyI1VT_X38sdK5WxH94AaABAg,13,1599
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,so basically we should look forward to 2020,Ugz9XWu6VeIopjZvM7h4AaABAg,39,864
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"Yet again, Cyberpunk stole the show!",UgzcLn8Q_NaPDOgESnV4AaABAg,45,916
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,By 2077 Keanu would be over 110 years old and still looks like he's in his thirties. Keanu really is immortal.,UgyY2EO51cu41wWCG0V4AaABAg,8,662
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"Literally nobody:
Microsoft: Lego Forza Horizon",UgxDE6GlhpBqmNfx8Mp4AaABAg,3,233
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,Microsoft: Flight Simulator !!! 😍😍😱😱✈✈,UgzEODnbM_FoZWM2qWl4AaABAg,0,27
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,The most humble badass action star with the most humble game development company today: Keanu Reeves with CD Project Red.,UgyBfIBKJB3HdDlN7vJ4AaABAg,20,255
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"Keanu: The walk through the future is going to be breathtaking
Stranger: You’re breathtaking 
Keanu: You’re breathtaking, you’re all breathtaking 
Me: O my heart",UgwSiLT8PlFbZIpvd9d4AaABAg,1,59
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,I had no idea Keanu Reeves was in Cyber Punk!!!! I NEED THIS GAME,UgxtoH1R4z2CkB1Xskp4AaABAg,2,139
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"Keanu vs Master Chief.



My money's on Keanu.",Ugzsz5cNL0sMMQV9PeZ4AaABAg,5,114
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"*whenever someone says ""gamers"" take a shot*",UgzKs4K_jl3NCgLpkBh4AaABAg,10,273
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,90% of the comments : KEANU,Ugw0iaCkZt7vYcI4WYt4AaABAg,2,33
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,The reason why you're watching this.  At 22:11 Keanu and then after that more Keanu. Vote Keanu for president.  He's the nicest guy in Hollywood and he makes great movies.,Ugzyk2G2Z_oB5BdyWSd4AaABAg,11,213
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,Forget all the games. Keanu Reeves. 'Nuff said.,UgwQFspDq-SRBf4BJiV4AaABAg,0,21
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,I'd totally watch Cyberpunk: John Wick,Ugxvvby_GyyWOK4NbjV4AaABAg,5,86
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"I teared up with halo infinite, my GOD, I can’t wait to get my hands on the chief again.",UgySFDC52MZnaFU--Fh4AaABAg,0,8
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"Keanu: your all breath taking! 






Breath: yes",Ugzz6HSxNxD7mq7_GZx4AaABAg,0,22
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"I liked it, but I agree that the lack of extensive gameplay hurt this showing. Last year's show was better. 

Still, Halo looking like Halo again, Ori and the Will of the Wisps, Microsoft Flight Simulator.... all looked stunning. Throw in the mix a couple of interesting indies like Way Out of the Woods, 12 Minutes, Blair Witch and I'm satisfied. I'm personally excited and am a bit surprised at so many people being that disappointed. Oh well",Ugx5XZ8rcuvQoVYg0H94AaABAg,16,159
GameSpot,FULL Microsoft Xbox E3 2019 Press Conference,"Tune in to catch Phil Spencer and the Microsoft team talk about all their latest game reveals, trailers, hardware reveals, and more at E3 2019. For even more ...",73kSvsQ_kkA,"I'm surprised no one has made a time stamps comment, I was looking for it...",UgysCEmWsoXsTbSkRNx4AaABAg,2,48
