Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3875928452787535
75% Corpus,2,0.01,0.31,0.3897361043525104
75% Corpus,2,0.01,0.61,0.38004822750306233
75% Corpus,2,0.01,0.9099999999999999,0.39013963010597413
75% Corpus,2,0.01,symmetric,0.3853036457347692
75% Corpus,2,0.31,0.01,0.39056395213441647
75% Corpus,2,0.31,0.31,0.403051685137722
75% Corpus,2,0.31,0.61,0.4081667326648743
75% Corpus,2,0.31,0.9099999999999999,0.4229422222541408
75% Corpus,2,0.31,symmetric,0.3953590823111099
75% Corpus,2,0.61,0.01,0.43585116750719805
75% Corpus,2,0.61,0.31,0.4411559343392165
75% Corpus,2,0.61,0.61,0.42379296071095085
75% Corpus,2,0.61,0.9099999999999999,0.41599062201739806
75% Corpus,2,0.61,symmetric,0.4326659136521993
75% Corpus,2,0.9099999999999999,0.01,0.4279061427253333
75% Corpus,2,0.9099999999999999,0.31,0.4336199139066316
75% Corpus,2,0.9099999999999999,0.61,0.4261058112631039
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4003740899114631
75% Corpus,2,0.9099999999999999,symmetric,0.4369441213697902
75% Corpus,2,symmetric,0.01,0.3961562361934233
75% Corpus,2,symmetric,0.31,0.4028367221086482
75% Corpus,2,symmetric,0.61,0.3982917329307759
75% Corpus,2,symmetric,0.9099999999999999,0.40585616837722177
75% Corpus,2,symmetric,symmetric,0.40256782522834716
75% Corpus,2,asymmetric,0.01,0.40770366685795806
75% Corpus,2,asymmetric,0.31,0.41171385108110614
75% Corpus,2,asymmetric,0.61,0.4222208775445915
75% Corpus,2,asymmetric,0.9099999999999999,0.44151329952198093
75% Corpus,2,asymmetric,symmetric,0.4236782333749532
75% Corpus,3,0.01,0.01,0.3875928452787535
75% Corpus,3,0.01,0.31,0.3897361043525104
75% Corpus,3,0.01,0.61,0.38004822750306233
75% Corpus,3,0.01,0.9099999999999999,0.39013963010597413
75% Corpus,3,0.01,symmetric,0.3853036457347692
75% Corpus,3,0.31,0.01,0.39056395213441647
75% Corpus,3,0.31,0.31,0.403051685137722
75% Corpus,3,0.31,0.61,0.4081667326648743
75% Corpus,3,0.31,0.9099999999999999,0.4229422222541408
75% Corpus,3,0.31,symmetric,0.3953590823111099
75% Corpus,3,0.61,0.01,0.43585116750719805
75% Corpus,3,0.61,0.31,0.4411559343392165
75% Corpus,3,0.61,0.61,0.42379296071095085
75% Corpus,3,0.61,0.9099999999999999,0.41599062201739806
75% Corpus,3,0.61,symmetric,0.4326659136521993
75% Corpus,3,0.9099999999999999,0.01,0.4279061427253333
